Date,Close/Last,Volume,Open,High,Low
05/04/2020,$82.58,4087134,$81.79,$85.60,$80.41
05/01/2020,$84.75,4234307,$87.09,$88.48,$84.23
04/30/2020,$90.94,5366076,$93.60,$93.90,$89.27
04/29/2020,$95.99,7369508,$90.97,$97.45,$90.37
04/28/2020,$87.42,4210942,$87.411,$88.74,$84.52
04/27/2020,$85.27,5419851,$82.38,$86.26,$81.53
04/24/2020,$80.71,3545323,$81.25,$82.18,$78.40
04/23/2020,$81.10,4540340,$80.45,$83.50,$79.96
04/22/2020,$80.02,3710079,$81.43,$82.4747,$78.75
04/21/2020,$79.90,4746956,$77.63,$80.05,$77.11
04/20/2020,$79.77,4155031,$81.61,$83.25,$79.29
04/17/2020,$84.26,5299531,$85.295,$85.63,$82.29
04/16/2020,$80.39,5398754,$80.09,$80.99,$76.25
04/15/2020,$80.73,4822723,$78.02,$81.99,$77.53
04/14/2020,$82.68,6093093,$81.00,$83.30,$78.86
04/13/2020,$78.09,4157842,$81.56,$81.57,$75.71
04/09/2020,$81.31,10342960,$86.036,$89.03,$79.67
04/08/2020,$82.53,9143563,$75.24,$83.94,$74.96
04/07/2020,$73.82,11850380,$78.305,$81.98,$72.68
04/06/2020,$70.59,12186120,$64.55,$70.90,$63.78
04/03/2020,$59.08,10622240,$64.36,$64.71,$57.00
04/02/2020,$63.00,8062657,$69.29,$70.59,$61.55
04/01/2020,$69.15,7651268,$70.00,$71.41,$67.65
03/31/2020,$74.81,5176088,$74.98,$79.24,$74.52
03/30/2020,$76.16,6097793,$76.71,$78.43,$72.84
03/27/2020,$78.85,5749800,$78.70,$82.79,$76.25
03/26/2020,$82.81,10449610,$87.60,$96.003,$80.59
03/25/2020,$85.25,8717945,$83.505,$92.68,$79.23
03/24/2020,$79.14,9113056,$76.05,$81.3606,$75.00
03/23/2020,$70.13,12931810,$75.02,$80.70,$67.28
03/20/2020,$74.58,18154670,$73.71,$84.00,$69.52
03/19/2020,$66.80,17497680,$61.18,$72.70,$52.65
03/18/2020,$63.81,25881830,$67.15,$67.16,$46.5622
03/17/2020,$75.24,12101620,$87.52,$89.61,$67.74
03/16/2020,$86.42,9327208,$84.68,$91.0734,$78.12
03/13/2020,$95.61,8552816,$98.23,$100.78,$91.60
03/12/2020,$93.71,9065674,$90.00,$97.81,$88.76
03/11/2020,$100.11,8901640,$106.20,$106.50,$99.56
03/10/2020,$109.98,5395484,$108.83,$110.03,$102.80
03/09/2020,$104.19,6687359,$102.00,$108.92,$101.76
03/06/2020,$110.66,6790291,$104.64,$113.62,$103.89
03/05/2020,$110.22,6977165,$113.79,$115.00,$108.80
03/04/2020,$118.33,7343706,$115.49,$118.54,$111.28
03/03/2020,$114.28,6796506,$122.76,$123.74,$113.88
03/02/2020,$122.96,6375455,$123.07,$123.68,$116.6422
02/28/2020,$124.00,6660793,$116.25,$124.33,$116.00
02/27/2020,$119.64,6958568,$117.00,$127.28,$114.46
02/26/2020,$120.19,4964341,$126.29,$127.67,$119.85
02/25/2020,$124.08,5128449,$135.99,$136.05,$123.48
02/24/2020,$134.83,3197451,$136.82,$137.38,$134.22
02/21/2020,$143.24,1858050,$145.38,$145.52,$142.54
02/20/2020,$146.84,1279602,$147.53,$148.9097,$146.27
02/19/2020,$147.63,2018045,$144.56,$147.91,$144.56
02/18/2020,$144.94,2353889,$144.23,$145.86,$144.23
02/14/2020,$144.90,2441278,$146.98,$147.36,$143.90
